ablation,абляция (таяние ледников)
linear,линейная
lying,лежачая
oblique,"косая, наклонная"
overturned,опрокинутая
fold axis,ось складки
folding,складчатость
food,продовольствие
footing,фундамент
footprint of the foundation,подошва фундамента
force,сила
horizontal force,горизонтальное
tangential force,касательное
normal force,нормальное
forecast,прогноз
лесополоса,forest belt
reforestation,лесовозобновление
forest use,лесопользование
formation,"формирование, формация"
geological formation,геологическая формация
fossil,"ископаемое, окаменелость"
fossil remains,ископаемые остатки
foundation,основание
foundation,фундамент
footing,фундамент
basement,фундамент
block-foundation,блочный
caisson,кессонный
floating (buoyant) foundation,плавающий
ring,кольцевой
raft foundation,сплошная плита
slab,плита
strip foundation,ленточный
tanking foundation,ростверковый
pier footing,столбчатый
fraction,фракция
fracture,"разрыв, разлом, трещина"
"fragility, brittleness",хрупкость
brittle failure,хрупкое разрушение
fragmental rock,обломочная порода
frazil ice,шуга
free surface aquifer,безнапорный водоносный горизонт
freeze,замораживать
freeze through,промерзать
freezing,замерзание
frequency,частота
occurrence frequency,"частота возникновения (события, явления)"
friction,трение
friction pendulum bearings,маятниковые опоры
fringe,кайма
frontal and lateral resistance,лобовое и боковое сопротивление
frost,"мороз, замораживать"
frost heaving force,сила морозного пучения
frost resistance,морозостойкость
frost upheaval,морозное пучение
"frost blister, frost heave, frost mound",бугор пучения
frost texture,криогенная текстура
frost-thawing test,испытания на морозостойкость
frozen soils,мерзлые грунты
fuel,топливо
fulfill investigations,выполнять изыскания (исследования)
fume,"дым, промышленный газ"
fungus,"грибок, плесень"
funnel,воронка
fur,ель
gab,долото
gabbro,габбро
gal,Гал (гравиметр. ед. ускорения)
gale,"штормовой ветер, буря"
gamma,гамма
gamma-activity,гамма активность
gamma-ray log (logging),гамма-каротаж
gamma-gamma (density) log,гамма-гамма каротаж
gamma spectrometry analysis,гамма спектрометрический анализ
gap,"пропуск, перерыв, интервал"
garbage,"мусор, отбросы"
garbage heap,свалка
gas emanation survey,эманационная съемка
gas-geochemical research,газово-геохимические исследования
gas saturated soils (rocks),газонасыщенные породы
gauge,"датчик, прибор"
Gauss-Kruger projection,проекция Гаусса-Крюгера
gedding,бурение шпуров
genetic,генетический
general map,обзорная карта
general layout,генеральный план
generalized constant,обобщенный показатель
geochemical barrier,геохимический барьер
geocryological process,геокриологический процесс
geodetic basis,геодезическая основа
geodetic marks setting,установка геодезических знаков
geodesy,геодезия
geodetic,геодезический
geodetic tie,геодезическая привязка
georeferencing,геодезическая привязка
geodynamics,геодинамика
geodynamic research,геодинамические исследования
geodynamic polygon,геодинамический полигон
geological conditions,геологические условия
geologic-genetical,геолого-генетический
geological medium,геологическая среда
geological engineering element,инженерно-геологический элемент
geological radar,георадар
geological-physical phenomena,физико-геологические явления
geological structure,геологическое строение
geology,геология
geomorphology,геоморфология
geophysics,геофизика
geotechnical investigation,геотехнические изыскания
geotechnics,геотехника
geotechnique,геотехника
geotechnology,геотехника
glacial advance,наступание ледника
glacial through,троговая долина
glacier,ледник
glacier  deposits,ледниковые отложения
glacier-cover,континентальный ледниковый покров
active glacier,подвижный ледник
glacial erosion,экзарация
glacierization,оледенение
glaciology,гляциология
Global Positioning System,глобальная система позиционирования
GPS,глобальная система позиционирования
global process,глобальный процесс
gorge,"ущелье, овраг"
gouge,глинка трения
graben,грабен
grab sample,точечная проба
gradient,градиент
hydraulic gradient,гидравлический градиент
gradienter,нивелир
grading,планировка
grain size distribution (grain size of soil),гранулометрический состав
granite,гранит
granule,гранула
granular,гранулированный
graph,график
graphic and table appendix,графические и табличные приложения
grapple,закреплять анкером
grass,трава
grate,решетка (грохот)
gravel,гравий
grail,гравий
gravelly,гравелистый
gravimeter,гравиметр
gravitation,гравитация
gravitation mass movement,гравитационное смещение
gravity based structures,гравитационные сооружения
gravity dam,гравитационная плотина
gravity measurements,гравиметрические измерения
greenhouse effect,парниковый эффект
grid,"сетка, сетка координат"
grit,песок крупный
ground preparation works,инженерная подготовка территории
ground response spectra,спектр реакции грунтов
ground solidification,"мелиорация, закрепление грунтов (в основании сооружений)"
ground water,"грунтовые, подземные воды"
ground water budget,баланс подземных вод
ground water devide,водораздел подземных вод
ground water flow,поток грунтовых вод
ground water level,зеркало грунтовых вод
groundwater source,водоисточник
discharge,водоисточник
grout,цементный раствор
grouting,"цементация, цементирование"
cementation,"цементация, цементирование"
cement-soil stabilization,"цементация, цементирование"
contact grouting,сплошное цементирование
grout curtain,цементная завеса
guide tube,обсадная труба
gully,овраг
gypsum,гипс
habitat,среда обитания
hail,град
half-life period,период полураспада
half-rock,полускальная порода (грунт)
half space,полупространство
halo,ореол
halocline,галоклин
haloids,галоиды
hammer,"молот, молоток"
hand auger,ручной бур (шнековый)
hand drilling,ручное бурение
hang,висеть
hanging glacier,висячий ледник
hanging valley,висячая долина
hardness,твердость
harmless,безвредный
harsh,"суровый, жесткий, шероховатый"
hassock,"песчаник мягкий, туф"
hazard,опасность
hazardous,опасный
haze,дымка
hazel,песчаник сланцеватый
head,напор
head water,подпор
head water level,подпорный уровень
heap,отвал
heat capacity,теплоемкость
heat conductivity coefficient,коэффициент теплопроводности
heat exchange,теплообмен
heat supply,теплоснабжение
heating,отопление
heaving,пучение (вспучивание)
heavings,пучины (на дорогах)
heavy metals,тяжелые металлы
heights above sea level,высота над уровнем моря
herbicide,гербицид
heterogeneity,неоднородность
hiatus,перерыв (в осадконакоплении)
high plateau,плоскогорье
high resolution,высокое разрешение
high sensitivity equipment,высокочувствительное оборудование
high water,"паводок, наводнение"
high water mark,отметка уровня высоких вод
higher river,надпойменная (терраса)
highest flood-meter level,наивысший горизонт паводка
highest possible tide,максимальная высота прилива
hindcase,предыстория
hindering,ограничение
hill,холм
hillock,"бугор, холмик"
hillside,косогор
hirst,отмель
historical-cultural heritage,историко-культурное наследие
hoar,иней
Holocene,голоцен
homogeneous,однородный
horizontal movement (displacement),горизонтальное смещение
horst,горст
hose,шланг
hose-cable,шланг
human activity,деятельность человека
humidity,влажность
"humid, wet",влажный
hummock,"бугор, холмик"
mound,"бугор, холмик"
humus,гумус
humic bed,гумусовый слой
hurricane,"ураган, шторм"
hurricane tide,штормовой нагон
hydration,гидратация
hydraulic,гидравлический
hydraulic engineering,гидротехника
hydraulic fill method,намыв
hydraulic structures,гидротехнические сооружения
hydrochemical regime,гидрохимический режим
hydrochloric acid extract,солянокислая вытяжка
hydrodynamics,гидродинамика
hydrodynamic,гидродинамический
hydroelectric plant,гидроэлектростанция
hydrogen ion concentration,концентрация водородных ионов (pH)
hydrogeology,гидрогеология
hydrograph,гидрограф
hydrographic network,гидрографическая сеть
гидрография,hydrography
hydroisohypses,гидроизогипсы
hydroisopiezes,гидроизопьезы
hydrolaccolith,бугор пучения
hydrological year,гидрологический год
hydrology,гидрология
hydrological station,гидрологическая станция
hydrometeorology,гидрометеорология
hydrometrical works,гидрометрические работы
hydropower engineering,гидроэнергетика
hygroscopic agent,гигроскопический реагент
hydrosphere,гидросфера
hydrostatic head,"гидростатический напор, высота подпора"
hygienic,гигиенический
hypocenter,гипоцентр (землетрясения)
focus (of an earthquake),гипоцентр (землетрясения)
ice,лед
ice content,льдистость
ice conditions (regime),ледовый режим
ice bedding,ледяной прослой
ice body,наледь
ice mound,наледь
ice gouge,шуга
ice sheet,ледниковый покров (материковый)
iceberg,айсберг
iced fern,изморозь
ice drift,ледоход
ice gang,ледоход
"ice gorge, ice jam, ice dam",зажор (ледяной затор)
Iceproof Stationary Platform,льдоустойчивая стационарная платформа
ISP,льдоустойчивая стационарная платформа
identification,"выделение, выявление, идентификация"
identifying,"выделение, выявление, идентификация"
ignition,"зажигание, воспламенение, возгорание"
"image, imagery",изображение
impervious,водонепроницаемый
impervious stratum,водоупор
impermeable bed,водоупор
implement,"выполнять, создавать"
implement investigations,выполнять (проводить) изыскания
immunity,иммунитет
impermeable,непроницаемый
impervious,непроницаемый
improvement,улучшение
impurity,примесь
inadmissible,недопустимый
"incineration, ignition, burning",сжигание
incline,"уклон, наклон, падение (пласта)"
inclination,"уклон, наклон, падение (пласта)"
inclinometer,инклинометр
inclusion,включение
incoherent,"несвязный, несцементированный"
incomplete compacted soil,недоуплотненный грунт
incomplete well,несовершенная скважина
inconciderable,незначительный
index,"индекс, коэффициент, показатель"
indicate,указывать
indicator,индикатор
indirect,косвенный
individual,единичный
unique index,единичный показатель
induced polarization,вызванная поляризация
induration,"упрочнение, затвердение"
industrial and civil building,промышленное и гражданское строительство
industrial and domestic waste,промышленные и бытовые отходы
industrial emission,промышленный выброс
industrial site,промплощадка
industrial waste utilization,утилизация промышленных отходов
industrial waste water,промстоки
infection background,инфекционный фон
infiltration,инфильтрация
infiltration test,"нагнетание, налив"
inflow,приток (воды)
influence,"воздействие, влияние"
infra-red,инфракрасный
infrastructure,инфраструктура
ingression,морская трансгрессия
inherited structure,унаследованная структура
injection,инъекция
grouting,инъекция
injury,"ущерб, повреждение"
inland sea,внутреннее море
inland and water ecosystems,наземные и водные экосистемы
inoculation,заражение (загрязнение среды биологическим агентом)
inrush,прорыв
insecticide,инсектицид
insequent,инсеквентный
insignificant,незначительный
in-situ tests,полевые испытания
inspection,надзор
installation,"здание, сооружение"
construction,"здание, сооружение"
structure,"здание, сооружение"
installation,"возведение, сооружение, монтаж"
instantaneous strain,мгновенная деформация
instrumentally recorded earthquake,инструментально зарегистрированное землетрясение
insular permafrost,островная мерзлота
insulate,утеплять
insurance,обеспечение
intact tectonic block,целиковый тектонический блок
integrated,комплексный
integrated utilization,комплексное использование
intensity of earthquake,интенсивность землетрясения
interaction,взаимодействие
interaction zone,зона взаимодействия
interbed,прослой
interglacial,межледниковье
interior angle of cone,угол наконечника зонда
interior massif,срединный массив
intermediate,промежуточный
intermittent,перемежающиеся
internal friction,внутреннее трение
interpolation,интерполяция
interpretation,"интерпретация, дешифрирование"
intersect,пересекать
intersected country,пересеченная местность
intrapermafrost water,межмерзлотные воды
intrusive rock,интрузивная порода
inundate,затоплять
inundation,"затопление, паводок"
inversion,инверсия
inverted filter,обратный фильтр
investigations,изыскания
research,изыскания
investigation area,"область, площадь исследований"
investment project,инвестиционный проект
inwashed soil,намытый (намывной) грунт
ion,ион
irradiation,облучение
irretrievable water consumption,безвозвратное водопотребление
irreversible change,необратимое изменение
irrigation,орошение
isle,остров
isobath,изобата
isohypse,изогипса
isolated,"отдельный, единичный"
iso-pachous lines,изопахиты
isopachytes,изопахиты
isoseist,изосейста
isoseismal line,изосейста
isoseismic contour,изосейста
isostasy,изостазия
isotherms,изотермы
isotopes,изотопы
isotropic,изотропный
jack,домкрат
joint,"трещина, шов; parting joints",трещины отдельности
construction joint,конструктивный шов
expansion joint,температурный шов
stress-relieving joint,шов для снятия напряжения
joint diagram,диаграмма трещиноватости
joint emptiness,раскрытие трещин
joint-rose,роза (диаграмма) трещиноватости
joint set,система трещин
jointing,трещиноватость
fracturing,трещиноватость
fissuring,трещиноватость
blind jointing,скрытая трещиноватость
bedding jointing,трещиноватость напластования
justifying,обоснование
juvenile water,ископаемые воды
"kars, clints",кары
karst,карст
palaeo-karst,древний
gypsum,гипсовый
carbonate,карбонатный
naked,открытый
covered,скрытый
karstificated rocks,закарстованные породы
kettle,"котловина, мульда"
kinematic wave,кинематическая волна
kinetic energy,кинетическая энергия
Krasowski ellipsoid,эллипсоид Красовского (геодез.)
laboratory,лаборатория
lag time,время добегания
lagoon,лагуна
lahar,лахар
laida,лайда (полоса осушки)
lake,озеро
laminar flow,ламинарное течение
land,земля
land facet,таксономическая единица (при районировании местности)
landfall point,береговое примыкание
landfill,насыпной грунт
earth-fill,насыпной грунт
filling layer,насыпной грунт
fill ground,насыпной грунт
landform,форма рельефа
landmark,ориентир
land reclamation,мелиорация земель
land recultivation,рекультивация земель
landscape,ландшафт
landscape load,нагрузка на ландшафт
landslide,оползень
asequential,асеквентный
consequent,консеквентный
insequent,инсеквентный
block slip,оползень блоковый
flow slide,оползень течения
rock slip,оползень в скальных породах
subaqueous slide,оползень подводный
landslide prevention works,противооползневые мероприятия
land system,районирование (как результат)
"land use, land-tenure",землепользование
larch,лиственница
large-scaled map,крупномасштабная карта
laser,лазер
laser scanning,лазерное сканирование
"latent, concealed",скрытый
lateral friction,боковое трение
lateral pressure,боковое (горизонтальное) давление
lateral compression,боковое (горизонтальное) давление
lateral resistance,боковое сопротивление
laterite,латерит
latest motions,новейшие движения
latitude,широта
launch,"запуск, начало процесса"
layer,пласт
layer,слой
layout,"вынос в натуру, разметка"
leaching,выщелачивание
lead,свинец
leakage,"утечка, подток"
seepage,"утечка, подток"
lean,наклон
legend,легенда
simbols,легенда (условные обозначения)
lens,линза
lethal,летальный
lethal concentration,летальная концентрация leveling instrument (box),нивелир
level,уровень
water level,уровень воды
ground water level,уровень подземных вод;
mean water level,средний уровень воды
alarm level,опасный уровень
level indicator,индикатор уровня
level gauge,"уровенный пост, репер"
leveling,нивелирование
national leveling network,национальная нивелирная сеть
leveling traverse,нивелирный ход
levelling,планировка
licence,лицензия
licencing,лицензирование
lightning,молния
Light Technical Equipment,легкий пробоотборник
LTE,легкий пробоотборник
LTE-sampling,легкий пробоотборник
likelihood,вероятность
limestone,известняк
limitation,ограничение
limiting factor,лимитирующий фактор
limiting index,лимитирующий признак
limit state design,расчет по предельным состояниям
line of cross section,линия разреза
linear structures,линейные сооружения
liquefaction,разжижение
liquid,жидкость
liquid decontamination of surface,жидкостная дезактивация поверхности
liquid limit,верхний предел пластичности (влажность на пределе текучести)
liquid state,жидкое состояние
liquid wastes,жидкие отходы
liquidity index,показатель текучести
listing,"ведомость, перечень"
lithification,"литификация, упрочнение"
lithified,литифицированный
lithodynamics,литодинамика
lithogeneous,литогенетический
lithology,литология
littoral zone,литоральная зона
living standard,жизненный уровень
load,нагрузка
load increment in steps,нагрузка ступенями
load and resistance factor design,расчет по несущей способности
load of a river,твердый сток
bed load,твердый сток
load plate settling,осадка (штампа)
load settlement chart,график осадки
load transmitted stepwise,нагрузка ступенями
loading plate,штамп
static loading plate test,штамповые испытания
loam,суглинок
lean clay,суглинок
local,местный
local residents,местные жители
localization,локализация
location,местоположение
loess,лесс; loessial soil,лессовидная порода
log,каротаж
logging,каротаж
sounding,каротаж
logging,зондирование
lognormal distribution,логнормальное распределение
longitudinal (profile),продольный (профиль)
longitudinal wave,продольная волна
long-term forecast,долгосрочный прогноз
long-term settlement,долговременная осадка
loose soil,"рыхлый (несвязный), сыпучий грунт"
cohesionless soil,"рыхлый (несвязный), сыпучий грунт"
losing streams,питающие водотоки
loss on ignition,потеря при прокаливании
Love wave,волна Лява
Q-wave,волна Лява
low country,низменность
lowland,"низменность, низина"
low tide,отлив
low water,межень
low-water level,межень
lowering of ground water level,понижение уровня подземных вод
lowest water level,наинизший уровень воды
Lowest Astronomical Tide,наинизший уровень при отливе
LAT,наинизший уровень при отливе
lubricant,смазочный материал
lugeon,"люжон (единица водопроницаемости скальных пород; 1 Люжон равен расходу 1 л/с при давлении 1 МПа, поддерживаемому в течение 10 мин)"
L-waves,длинные волны
lysimeter,лизиметр
magmatic,магматические
magnetic anomaly,магнитная аномалия
magnetic prospecting,магниторазведка
magnetometer,магнитометр
magnitude,магнитуда
maintenance,поддержка
man-caused,техногенный
human-induced,техногенный
man-made,антропогенный
human made,антропогенный
manned spacecraft,пилотируемый космический корабль
manometer,манометр
map,карта
mapping,картирование
section maps,карты-срезы
subsurface maps,карты-срезы
actual material map,карта фактического материала
survey review map,карта изученности
marine deposits,морские отложения
"marker, datum mark","репер, марка"
marl,мергель
mass,масса
mass-spectrometer,масс-спектрометр
Maximum Calculated Earthquake (MCE),максимальное расчетное землетрясение (МРЗ)
maximum molecular water absorbing capacity,максимальная молекулярная влагоемкость
Maximum Acceptable Concentration (MAC value),предельно допустимая концентрация
meadow,"луг, поляна"
mean value,среднее значение; mean year value,среднегодовое значение
mean monthly value,среднемесячное значение
mean daily value,среднесуточное значение
Mean Sea Level (MSL),средний уровень моря
meandering,меандрирование
measurement,измерение
measuring devise,измерительная аппаратура
medical-biological research,медико-биологические исследования
medium grained,среднезернистый
medium reaction spectra,спектр реакции грунтов (среды)
melioration,мелиорация
mellow,мягкий
melting,оттаивание
mere,озеро
metabolism,метаболизм
metamorphism,метаморфизм
metamorphic,метаморфические
meteorology,метеорология
meteorological,метеорологический
meteorological station,метеостанция
reference meteorological station,опорная метеостанция
methane,метан
metrological,метрологическое
metrological support,метрологическое обеспечение
micropenetration,микропенетрация
microshift,микросмещение
microrelief,микрорельеф
microseisms,микросейсмы
micro-shifts,микросмещения
migration,миграция
military object,военный объект
military facility,военный объект
mine,шахта
mineral recources,минеральные ресурсы (полезные ископаемые)
mineral water,минеральные воды
mineral water storage,месторождение минеральных вод
mineral wealth,минеральные богатства
mineralization,минерализация
mineralogy,минералогия
minimum flow,минимальный сток
mining,горные разработки
mining subsidence,оседание поверхности над горными выработками
misclosure,невязка (геодез.)
mis-tie,невязка (геодез.)
"mist, fog","туман, дымка"
mitigation,смягчение
mizzle,морось
model,модель
modeling,моделирование
modified method,модифицированный метод
modify,"модифицировать, варьировать"
modulus of elasticity,модуль упругой деформации
modulus of settlement,модуль осадки
Mohr’s stress diagram,круг Мора
Mohr circle,круг Мора
moist,влажный
moisture (water content),влажность
initial,начальная
primary,начальная
natural water content,влажность природная
optimum,оптимальная
saturation water content,влажность при водонасыщении
moisture yield,водоотдача
monitoring,мониторинг
monolith,монолит
monsoon,муссон
moraine,морена
morphology,морфология
mountain,гора
moss,мох
mouth,устье (покрываемое приливом)
issue,устье (покрываемое приливом)
estuary,устье (покрываемое приливом)
movement,"смещение, движение, подвижка"
muck,"перегной, навоз"
mud,"ил, грязь, шлам"
mud clayey,ил глинистый
mud collector,шламохранилище
mud filling,заиление
silting,заиление
mudflow,сель
mud-rock flow,сель
earthflow,сель
mud stream,"грязевой поток, сель"
mud volcano,грязевой вулкан
multi-beam sonar,многолучевой локатор
multi-component system,многокомпонентная система
multiple correlation (regression),множественная корреляция (регрессия)
multipurpose utilization,комплексное использование
integrated utilization,комплексное использование
multi-stage design system,многостадийное проектирование
multi-stage test,многоступенчатая схема испытаний
municipal,муниципальный
mushroom,гриб
mylonite,милонит
naked peak,голец
nappe,покров
national park,национальный парк
natural,природный
natural angle of slope ,угол естественного откоса
angle of repose,угол естественного откоса
natural calamity,стихийное бедствие
natural disaster,стихийное бедствие
natural conditions,естественные условия
in natural setting,в естественном залегании
natural electrical field detection,метод естественного поля
natural monument,памятник природы
natural protection of groundwater,естественная защищенность подземных вод
navigation,навигация
navigation charts,навигационные карты
navigation manuals,навигационные справочники
navigation pass,судопропускное сооружение
neap tide,"квадратурный прилив, отлив"
negative skin friction,отрицательное трение
Neogene,неоген
neotectonic,неотектонический
neotectonics,неотектоника
net,сеть
geodetic net,геодезическая сеть
national geodetic network,национальная геодезическая сеть
neutron log,нейтронный каротаж
newest sediments,новейшие осадки
nitrates,нитраты
nitrogen,азот; nitrogenous,азотный
noise,шум; noise pollution,шумовое загрязнение
nomenclature of map sheets,номенклатура листов карты
nomograph,номограмма
non-cohesive soils,несвязные грунты
nonwaste technology,безотходная технология
normal distribution,нормальное распределение
normative insurance,нормативное обеспечение
normative regulations (standards),"нормы, нормативные документы"
Nuclear Power Plant,атомная электростанция (АЭС)
NPP,атомная электростанция (АЭС)
nuclear winter,ядерная зима
nucleus,ядро
numbers,численность
numerosity,численность
nutrition,питание
oak,дуб
oblique aerial photograph,перспективный аэрофотоснимок
observation,наблюдение
observation point,точка (пункт) наблюдения
occur,залегать
occurrence,залегание
ocean,океан
oceanography,океанография
oceanology,океанология
odometer,курвиметр
oedometer,одометр
oedometric test,одометрические испытания
offset,смещение
offshore petroleum facilities,морские нефтяные комплексы
off-site installations,внеплощадочные сооружения
oil,нефть
oil-spot,нефтяное пятно
oil pumping station,нефтеперекачивающая станция
oil storage tank,нефтяная цистерна (нефтехранилище)
one-crop system,монокультура
one-dimensional consolidation,одноосное сжатие (одометрические испытания)
on-line analysis,непрерывный анализ
onset,"начало процесса, запуск"
optimal location (position),оптимальное размещение
ordinary tide,"средний прилив, отлив"
ore,руда
ore minerals,рудные минералы
organic content,содержание органического вещества
organic matter content,содержание органического вещества
organic-mineral (soil),органо-минеральный (грунт)
organic remnants,органические остатки
orientation,"ориентировка, ориентация"
orographic,орографический
oscillation,"волновое колебание, пульсация, вибрация"
overburden,перегрузка
overburden pressure,бытовое давление
effective pressure,бытовое давление
overburden effective pressure,бытовое давление
over-consolidation,переуплотнение
overdeeping of valley,переуглубление долины
overflow,водосброс
overload,перегрузка
overlying strata,перекрывающие слои
overstress,перенапряжение
overthrust,шарьяж
overthrust nappe,шарьяж
overturning,опрокидывание
outburst,прорыв
outcrop,обнажение
output,"выход, дебит"
ox-bow,"старица, заводь"
oxidation,окисление
oxidation-reduction potential,окислительно-восстановительный потенциал
oxygen,кислород
dissolved oxygen,растворенный кислород
oxygen deficit,дефицит кислорода
ozone,озон
packer,тампон
plug,тампон
sealing of borehole,тампонаж скважины
palaeo,древний
paleoseismology,палеосейсмология
paleovalley,палеодолина
particle,частица
particle-size distribution curve,гранулометрическая кривая
path,путь
pavement,"покрытие, мостовая"
pavement design,конструкция покрытия
pearl spar,доломит
dolomite,доломит
peat,торф
turf,торф
peat-land,торфяник
peat bog,торфяник
pebble,галька
peculiarity,особенность
peg,"пикет, колышек, шпилька"
peneplain,"пенеплен, поверхность выравнивания"
penetration test,пенетрация
penetrometer,пенетрометр
perched ground water,верховодка
percolating,просачивание percolation,просачивание
percussion drilling,ударное бурение
cable-tool drilling,ударное бурение
percussion piston soil tube,ударно-поршневая грунтовая трубка (донный пробоотборник)
perennial stream,постоянный водоток
perform investigations,выполнять (проводить) изыскания
permafrost,многолетняя мерзлота
permanent population,постоянно проживающее население
permeable,проницаемый
permeability,водопроницаемость
impermeable bed,водонепроницаемый слой (водоупор)
permeability coefficient,коэффициент фильтрации
permeameter,фильтрационный прибор
permissible load,допустимая нагрузка
allowable load,допустимая нагрузка
allowable pressure,допустимая нагрузка
pervious,проницаемый (в скальных породах)
pest,вредители
pesticide,пестицид
petrography,петрография
photogrammetry,фотограмметрия
photosynthesis,фотосинтез
photo-theodolite,фототеодолит
phenomenon,явление
phenomena,явления
phreatic (free) surface,свободная поверхность
physical-mechanical properties,физико-механические свойства
physical-geographical conditions,физико-географические условия
phytopathogene,фитопатоген
phytoplankton,фитопланктон
piedmont,предгорье
pier,причал
piezocone penetrometer,пьезоконический пенетрометр
Piezocone Penetration Test,статическое зондирование пьезоконическим пенетрометром
PCPT,статическое зондирование пьезоконическим пенетрометром
piezometer,пьезометр
piezometric head,пьезометрический напор
piezometric surface,пьезометрическая поверхность
pickle,рассол
pile,свая
drilled pile,буровая
driven pile,забивная
driven and cast-in-place,забивная и набивная
end-bearing pile,свая-стойка
friction pile,свая трения
grouted pile,буронабивная бетонная
inclined (batter) pile,наклонная
preliminary pile,пробная
reinforced concrete pile,железобетонная
screw pile,винтовая
suspended pile,висячая
test pile,опытная
vibro-pile,вибросвая
pile driving,забивка свай
piling hammer,свайный молот
piling helmet,свайный оголовок
pileup,"нагон, скопление"
pine,сосна
pinger,излучатель
pipeline,трубопровод
piston sampler,поршневой грунтонос
pit,шурф
plain,равнина
plan,план
a view in plan,в плане
plane,"поверхность, плоскость"
plane of leveling,поверхность выравнивания
plane of sliding,плоскость сдвига
plant,"растение, завод, фабрика"
plant disease,болезни растений
plant engineering,эксплуатационно-техническая служба
plant infestation,заражение растений
planting,озеленение
plastic limit,нижний предел пластичности (влажность на пределе раскатывания)
plasticity,пластичность
plasticity index,число пластичности
plate,плита
plate bearing test,испытания штампом
load bearing test,испытания штампом
plateau,плато
plot,"график, чертеж, план"
plotting,"съемка, картирование"
pneumatic,пневматический
poaching,браконьерство
podsolic soil,подзолистая почва
point,"точка, пункт"
point of geodetic survey basis,пункт съемочного обоснования
Poisson`s ratio,коэффициент Пуассона (коэффициент поперечного расширения)
pole,"рейка, вешка, столб"
polje,полье
pollutant,загрязняющее вещество
pollution,загрязнение
polygon,полигон
pond,"пруд, водоём"
ponding of ground water,подпор грунтовых вод
population,"население, популяция"
population density,плотность населения
population distribution,распределение населения
population growth rate,скорость роста населения
pore,поры
pore air,поровый воздух
pore water,поровая вода
pore pressure,поровое давление
porewater pressure,поровое давление
porosity,пористость
position,залегание
position of rocks,условия залегания пород
potash salts,калийные соли
potential,потенциал
potential location,потенциальное место размещения
power supply,электроснабжение
precede,предварять
precipitations,осадки атмосферные
precise definition,точное определение
precompression,предварительное уплотнение
preconsolidation,предварительное уплотнение
predicted,"предсказанный, спрогнозированный"
prediction,прогноз
predominate,преобладать
prefer,предпочитать
preferably,предпочтительно
preferred,предпочтительный
preliminary,предварительный
preliminary technical conditions of construction,предпроектные проработки
preparation,подготовка
pre-Quaternary deposits,дочетвертичные отложения
prescribe,предписывать
presence,"наличие, присутствие"
presentation,представление (результатов)
present-day environmental conditions,современное состояние окружающей среды
preserve,"заказник, заповедник"
pressing,прессование
pressure,давление
axial pressure,осевое давление
contact pressure,давление по подошве фундамента
pressure bulb,эпюра («луковица») напряжений
pressure filtration,напорная фильтрация
pressure head,пьезометрический напор
pressure meter,прессиометр
pressure water,напорные воды
prevail,преобладать
prevailing,преобладающий
preventive measures,профилактические меры
previous stages,предыдущие (предшествующие) стадии
presumed value,предполагаемая величина
primary,первичный
principal strain,главная деформация
principal stress,главное напряжение
prints of fauna and flora,отпечатки фауны и флоры
prior design preparation,предпроектные проработки
priority,приоритет
probability,вероятность
probe,зонд
process,"процесс, явление"
phenomenon,"процесс, явление"
processing,обработка
product line,продуктопровод
production platform,нефтедобывающая платформа
profile,"профиль, разрез"
profiling,профилирование
prognosis,прогноз
project,проект
Project Specific Design Codes,специальные технические условия (СТУ)
PSDC,специальные технические условия (СТУ)
projection,проекция
proluvium,пролювий
prop,опора
propagation,распространение
property,свойство
soil properties,свойства грунтов
proposal,предложение
prospecting,разведочный
exploration,разведочный
exploratory,разведочный
protection,"защита, охрана"
protection measures,защитные мероприятия
protection of environment,защита окружающей среды
protective forest planting,защитные лесные насаждения
protrusion,"выпирание, протрузия"
provision,обеспечение
pseudo-karst,псевдокарст
public hearings,общественные слушания
pulsation,пульсация
pumping,водоотлив
pumping depression,депрессионная воронка
pumping station,насосная стация
pumping test,откачка
pumping-out permeability test,откачка
purification,"очищение, очистка"
pursue,осуществлять
putting into action,ввод в действие
puzzolana (pozzolana),пуццолан
P-wave,продольная волна
quagmire,"трясина, зыбун"
quality,качество
air quality,качество атмосферы
water quality,качество воды
quality index,бонитет
quantify,определять количественно
quantitative estimation,количественная оценка
quantity,"количество, численность"
"quarry, pit","карьер, каменоломня"
Quaternary,четвертичный
quay,"набережная, пристань"
quicksand,плывун
radiation safety,радиационная безопасность
radiation sampling,радиационное опробование
background radiation,радиационный фон
radiator,излучатель
radioactive,радиоактивный
radioactive fall-out,радиоактивные осадки
radioactive logging,радиоактивный каротаж
radioactive pollution,радиоактивное загрязнение
radioactive wastes,радиоактивные отходы
radioactive waste management,обращение с радиоактивными отходами
radioactivity,радиоактивность
radioactivity log,радиоактивный каротаж
radioactivity loging,радиоактивный каротаж
radiation logging,радиоактивный каротаж
radiation log,радиоактивный каротаж
radiocarbon dating,радиоуглеродный метод определения абсолютного возраста
radiocarbon C-14 dating,радиоуглеродный метод определения абсолютного возраста
radiochemical,радиохимический
radiological impact,радиологическое воздействие
radiological standards,радиологические нормы
radiometry,радиометрия
radiometric,радиометрический
radionuclides,радионуклиды
radius,радиус
radius of influence,радиус влияния
radius of drawdown cone,радиус влияния скважины
rainfall run-off,дождевой сток
rain-gauge,дождемер
random sampling,выборочное опробование
range,диапазон (пределы изменения)
rapid,"стремнина, порог (речной)"
rare species,редкие виды
rate,скорость
